Date,Close,High,Low,Open,Volume,Return,Log_Return
2018-01-04,241.8023681640625,242.29202516195116,240.8498150928216,241.4373871892172,80636400,0.004215143948344435,0.0042062851145401635
2018-01-05,243.4136962890625,243.5383179445409,242.1050194800938,242.6035604388967,83524000,0.006663822762507987,0.006641717644321756
2018-01-08,243.85890197753903,244.0191415150988,243.02205927901164,243.31583176453785,57319200,0.0018290083724288309,0.0018273377733319378
2018-01-09,244.4108734130859,245.0429475234176,244.001336119334,244.28622454060792,57254000,0.002263486922440494,0.002260929094928718
2018-01-10,244.0368804931641,244.30397349586673,242.9685899876945,243.6451658239578,69574300,-0.0015301811850642055,-0.0015313531079492364
2018-01-11,245.81739807128903,245.81739807128903,244.428601361046,244.59775211651325,62361500,0.0072961003866578444,0.007269612606535551
2018-01-12,247.41978454589844,247.588908071346,245.7816907558047,246.0844014900274,90816100,0.006518604814719886,0.006497450591271096
2018-01-16,246.5741271972656,249.3517206893031,245.8708175731765,248.69294015216428,106555100,-0.0034179051209866085,-0.0034237595023143812
2018-01-17,248.9243621826172,249.31607683096257,246.57410146099048,247.51777024970104,113258800,0.009531555528822233,0.009486416854600721
2018-01-18,248.5059356689453,249.23592453785648,248.0073675892479,248.80861928160448,100728000,-0.0016809383782407927,-0.0016823527403490989
2018-01-19,249.63658142089844,249.63658142089844,248.5059665652417,249.09351136563657,140920100,0.0045497736257669175,0.004539454693110839
2018-01-22,251.66639709472656,251.66639709472656,249.369522073197,249.4229624125236,91322400,0.008131082641312792,0.008098203497299256
2018-01-23,252.20057678222656,252.4943492462935,251.38152948043933,251.71091978417996,97084700,0.0021225705682865748,0.002120321097921896
2018-01-24,252.1025848388672,253.45579079530785,250.90964554515227,252.8503963139521,134816100,-0.0003885476576208635,-0.00038862316182060487
2018-01-25,252.2094268798828,253.07297598855803,251.40820219012537,252.97506090321383,84587300,0.0004238038300317104,0.00042371405055356443
2018-01-26,255.1294403076172,255.17396938910537,252.79697496050133,253.0551566941085,107743100,0.01157773309213006,0.011511223997798794
2018-01-29,253.43798828125,254.9959357693171,253.2777487743335,254.55080791558365,90118300,-0.006629779865184315,-0.006651854476351624
2018-01-30,250.83840942382812,253.4913535428928,250.35766382548664,251.58622081655767,131796400,-0.010257258097144506,-0.01031022628587675
2018-01-31,250.96310424804688,252.20945693267677,249.87699108677276,251.7020317753834,108364800,0.0004971121627870279,0.0004969886434694406
2018-02-01,250.67822265625,251.99581105477503,249.8769978493361,250.2242106611214,90102500,-0.001135153283389867,-0.0011357980578696933
2018-02-02,245.22100830078125,249.47643058573175,245.18539045619383,249.34287046064273,173174800,-0.021769798340050106,-0.022010256624451843
2018-02-05,234.96517944335935,245.57703929914857,234.41322525851265,243.4404310613605,294681800,-0.04182279866022898,-0.04272254803286484
2018-02-06,239.5944976806641,240.10194990093936,230.30913814947783,231.4130464166492,355026800,0.019702145859534337,0.0195105707886279
2018-02-07,238.2947540283203,242.47002824628976,238.21460710747124,239.03365430165348,167376100,-0.00542476419502802,-0.005439531659201096
2018-02-08,229.3565368652344,238.73983777186933,229.32091903682007,238.5973936266547,246449500,-0.03750908071616066,-0.03823064737499982
2018-02-09,232.80189514160156,234.68032186651465,225.1634986345731,232.17870520500833,283565300,0.015021844694104391,0.014910134128271317
2018-02-12,236.2204132080078,237.70715198620536,232.94427918195427,234.87611858334884,143736000,0.01468423641623251,0.014577466966136479
2018-02-13,236.80799865722656,237.35995280338608,234.4132088281571,235.0007808068435,81223600,0.0024874456920933596,0.0024843571197681485
2018-02-14,240.00405883789065,240.36906697758923,235.29459802957084,235.30350928151137,120735700,0.013496419879339916,0.013406154470861565
2018-02-15,243.0664825439453,243.07539379374364,239.2739850383128,241.76671699028205,111200300,0.012759882982325443,0.012679161613725258
2018-02-16,243.1376495361328,245.1051336146192,242.3898382287184,242.43436730166488,160420100,0.0002927881764802631,0.000292745322386697
2018-02-20,241.61537170410156,243.63626936494575,240.8141470735902,242.1762370959932,86369700,-0.00626097124380165,-0.006280653319874346
2018-02-21,240.4134979248047,244.5710032544408,240.3155828561697,242.06047610896744,98883700,-0.004974326636670967,-0.004986739781214781
2018-02-22,240.72509765625,243.0842694532874,240.04852190613056,241.34828741476264,110511300,0.0012960991547270595,0.0012952599432735214
2018-02-23,244.5621337890625,244.56213378906253,241.48185669879803,241.96260238012871,92766400,0.01593949351426449,0.015813793755210026
2018-02-26,247.4020538330078,247.49999608769443,245.05179291035216,245.648249015592,86491400,0.01161226392633119,0.011545359036282942
2018-02-27,244.31283569335935,248.31010177763787,244.25051128146683,247.5889697528501,99099200,-0.012486630938535526,-0.012565244008411334
2018-02-28,241.83790588378903,245.8796735402124,241.5174269383565,245.4256345324073,121907800,-0.01013016693349933,-0.010181826248994025
2018-03-01,238.32142639160156,243.19112543469905,236.80798105881055,241.62426694131017,176855100,-0.014540646468702234,-0.014647397754098039
2018-03-02,239.55001831054688,240.1197950624535,235.75754708341563,236.62998037815268,139083200,0.005155188677523848,0.0051419461845750155
2018-03-05,242.31869506835935,242.94188491008123,238.24130885047052,238.3481623532821,97307400,0.01155782319424925,0.011491541779452538
2018-03-06,242.93295288085935,243.38699193152036,241.41950749095267,243.306845019155,79213200,0.0025349171359920764,0.0025317096528746906
2018-03-07,242.84385681152344,243.1999535230053,240.54700992929344,240.7428671958741,87063500,-0.00036675168304400874,-0.00036681895289057226
2018-03-08,244.01910400390625,244.14372568003336,242.52348087968625,243.5294470453628,66901200,0.004839517901805257,0.0048278450804470985
