Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2018-01-02,150.9492645263672,150.9873549858189,148.73964002546003,149.11108376949917,32573300
2018-01-03,152.41598510742188,152.54932351303626,151.06354855539126,151.0921200328232,29383600
2018-01-04,152.68270874023438,153.13986705213327,152.46365583514958,152.9398666487778,24776100
2018-01-05,154.21609497070312,154.3208619220658,153.12081600602008,153.40654537635461,26992300
2018-01-08,154.816162109375,154.8923575951522,154.15898876074948,154.2161317418816,23159100
2018-01-09,154.82565307617188,155.28281137529908,154.3589757928463,155.12090144712485,24782400
2018-01-10,154.4636993408203,154.49228535367195,153.45413495811653,154.1398795450092,34004000
2018-01-11,155.52093505859375,155.5304685767132,154.4923323978345,154.73043782598845,20473500
2018-01-12,156.6638641357422,156.825774094728,155.1876074672441,155.38760790307236,37762700
2018-01-16,156.21617126464844,158.50197694567086,155.74947951945387,157.70194641059283,41231800
2018-01-17,157.90196228027344,158.14006766762296,156.1971341012827,156.95907424736106,33849900
2018-01-18,157.93052673339844,158.2924369904515,157.28287261118146,157.65431638341852,26432200
2018-01-19,158.42578125,158.68293911189252,157.66384117985797,158.3972097689895,38937600
2018-01-22,160.12112426757812,160.12112426757812,158.18770946717763,158.36867190719167,26081400
2018-01-23,161.44497680664062,161.5878487633318,160.54017921212974,160.6163746824717,37989700
2018-01-24,160.39727783203125,162.14021058986032,159.47342798991207,161.78780481950406,54287400
2018-01-25,160.3401336669922,161.5592317835664,159.8258180202149,161.50208883010131,28925000
2018-01-26,162.7974395751953,162.81649207900827,160.92118213448387,161.23546851698512,32038200
2018-01-29,162.0068817138672,162.77834070243276,161.66400943752726,162.45452092277753,37277800
2018-01-30,160.67347717285156,161.35922170036665,159.83535627584138,160.53061978495106,44987700
2018-01-31,161.34017944335938,161.9021191146213,160.33061508400323,161.57828479350175,42449200
2018-02-01,159.96871948242188,161.65449505218234,159.45440374065197,160.10205790939952,38037900
2018-02-02,156.7781219482422,159.7211012379888,156.64478350403104,159.34013840675703,68478100
2018-02-05,150.5968780517578,157.8638585118801,150.48259212595508,155.31137595029693,105372200
2018-02-06,154.5875244140625,154.77800579896896,147.72057384507667,148.39678494141438,118537900
2018-02-07,152.58746337890625,155.76854787760288,152.57792986238587,154.09227664356905,91028300
2018-02-08,146.14906311035156,153.14936631821996,146.14906311035156,152.97792290659999,94184800
2018-02-09,148.67300415039062,149.75876409505233,142.98704654911515,148.2158313600496,113836600
2018-02-12,151.31121826171875,152.33983535622568,149.01589320028077,150.19688670920306,63050600
2018-02-13,152.09217834472656,152.39694564098912,150.21590699136837,150.44449336316342,31785600
2018-02-14,154.93992614746094,155.17803152784452,150.48260040242386,151.1969165435746,52107400
2018-02-15,157.81626892089844,157.81626892089844,154.71137948669903,156.33049343051098,51633900
2018-02-16,157.11146545410156,158.82581261973513,156.8447740496346,157.30194685774978,62256300
2018-02-20,157.42575073242188,158.74961609827142,156.4923816877796,156.5590581716538,36785600
2018-02-21,156.97811889648438,159.74013543848042,156.88287093318846,158.1972172561184,41161800
2018-02-22,156.9591064453125,158.50202502134954,156.55909105644372,157.66388923545165,37074400
2018-02-23,160.16871643066406,160.16871643066406,157.5781288766808,158.22578303157576,50096900
2018-02-26,162.29261779785156,162.29261779785156,160.78780461661276,160.9211430453098,39266700
2018-02-27,160.28302001953125,162.60693098135937,160.20683908260563,162.34025410372004,42209900
2018-02-28,159.25440979003906,161.7211780550207,159.14964284084527,161.19734330905183,42936300
2018-03-01,156.65428161621094,160.07348578863397,155.24470188910087,159.34011717678408,76809900
2018-03-02,158.0924530029297,158.36864884871514,154.25419544805484,154.76849667333775,57445100
2018-03-05,159.8449249267578,160.25445925452658,156.75907359405966,157.34958489073205,38540200
2018-03-06,160.5211181640625,161.06400541154187,159.5115536681878,160.62588511360417,29480900
2018-03-07,160.89260864257812,161.025961646852,159.0163510557449,159.29254698493253,34609400
2018-03-08,161.77830505371094,161.8925909750789,160.91159806254333,161.55925219348978,25828400
2018-03-09,164.92129516601562,164.92129516601562,162.6926325501283,162.93073790309398,38310500
2018-03-12,165.7975616455078,166.1785244902495,165.0356214232235,165.40706528332697,37635000
2018-03-13,163.5403289794922,166.87380477617094,163.12126112551869,166.17852650353257,55638900
2018-03-14,163.51174926757812,164.52132846964415,162.7974329978758,164.39750899906588,40536400
2018-03-15,163.36888122558594,164.32130285671875,162.76885094747604,163.626039135176,28810400
2018-03-16,162.8831329345703,164.00698335598003,162.80693746879354,163.64507305953916,31176700
2018-03-19,159.4078369140625,161.43024160320346,158.01503916638677,161.31577026046,71395100
2018-03-20,159.9325408935547,160.30458739283415,158.94042174760256,159.47464086899058,34075700
2018-03-21,159.23606872558594,160.99136339686092,158.53967733381188,159.51272713138968,43863500
2018-03-22,155.30577087402344,158.1390529405566,155.1054314761458,157.03244815196018,66607300
2018-03-23,151.21328735351562,155.78279693417383,151.13696825511607,155.12455744730988,80110400
2018-03-26,156.83212280273438,157.0229277916623,151.83334651056444,154.2754989825218,57481500
2018-03-27,151.75697326660156,157.99590697834145,150.4214116026316,157.99590697834145,78889100
2018-03-28,150.01126098632812,152.4247955311688,148.8569548944417,150.8889085884178,89369700
2018-03-29,152.75865173339844,154.26592046560665,149.41976917070713,150.82210101154732,68692600
2018-04-02,148.3513946533203,152.3866853187898,146.79643842840906,151.67121010870548,85549400
2018-04-03,150.02081298828125,150.65043456670873,147.33063419485725,149.64876652037012,64090000
2018-04-04,152.38661193847656,152.85404620122637,146.9489913151655,147.1207128522127,65768700
2018-04-05,153.25474548339844,154.14194208921938,152.13860618423797,153.90345041273952,43054900
