Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,239.2739715576172,239.30958938635928,238.05432581552014,238.44604042635405,86655700
2018-01-03,240.7874755859375,240.93883101868462,239.44318069950288,239.44318069950288,90070400
2018-01-04,241.80230712890625,242.2919640031969,240.84975429810646,241.43732624618858,80636400
2018-01-05,243.4137420654297,243.53836374434445,242.10506501035132,242.60360606290976,83524000
2018-01-08,243.85887145996094,244.0191109774676,243.0220288661597,243.31580131492188,57319200
2018-01-09,244.41075134277344,245.04282513741748,244.00121425356372,244.28610253255093,57254000
2018-01-10,244.03692626953125,244.30401932233514,242.96863556367205,243.64521152684725,69574300
2018-01-11,245.81732177734375,245.81732177734375,244.42852549813927,244.59767620110745,62361500
2018-01-12,247.41990661621094,247.58903022509952,245.78181201792546,246.0845229014976,90816100
2018-01-16,246.57415771484375,249.3517515506538,245.87084800370857,248.6929709319801,106555100
2018-01-17,248.92433166503906,249.31604626536108,246.5740712315491,247.51773990456795,113258800
2018-01-18,248.50596618652344,249.23595514508034,248.00739804559979,248.80864983635345,100728000
2018-01-19,249.6366729736328,249.6366729736328,248.50605770332976,249.09360271920323,140920100
2018-01-22,251.6664581298828,251.6664581298828,249.3695825513058,249.42302290359297,91322400
2018-01-23,252.2005157470703,252.49428814004125,251.38146864350102,251.7108588675258,97084700
2018-01-24,252.1026153564453,253.45582147669455,250.90967591832242,252.85042692205445,134816100
2018-01-25,252.20933532714844,253.0728841223529,251.4081109282378,252.97496907255214,84587300
2018-01-26,255.12942504882812,255.1739541276531,252.79695984121244,253.05514155937826,107743100
2018-01-29,253.4379425048828,254.99588971155094,253.27770302690902,254.5507619382172,90118300
2018-01-30,250.83853149414062,253.49147690425846,250.35778566184467,251.586343250792,131796400
2018-01-31,250.9630889892578,252.20944159810833,249.87697589402038,251.7020164716669,108364800
2018-02-01,250.6781463623047,251.99573435982157,249.8769217992437,250.2241345053547,90102500
2018-02-02,245.2209014892578,249.47632192066345,245.18528366018458,249.34276185374955,173174800
2018-02-05,234.96517944335938,245.57703929914857,234.41322525851263,243.4404310613605,294681800
2018-02-06,239.59449768066406,240.10194990093936,230.30913814947783,231.41304641664922,355026800
2018-02-07,238.2947235107422,242.4699971939988,238.21457660015724,239.03362368944698,167376100
2018-02-08,229.35653686523438,238.73983777186933,229.32091903682007,238.59739362665474,246449500
2018-02-09,232.80186462402344,234.68029110269694,225.1634691182985,232.17867476912303,283565300
2018-02-12,236.22044372558594,237.70718269585691,232.94430927628497,234.87614892725603,143736000
2018-02-13,236.80799865722656,237.35995280338608,234.41320882815714,235.00078080684347,81223600
2018-02-14,240.00405883789062,240.36906697758923,235.29459802957084,235.30350928151137,120735700
2018-02-15,243.06649780273438,243.0754090530921,239.2740000590233,241.76673216747676,111200300
2018-02-16,243.13772583007812,245.10521052593958,242.38991428800867,242.4344433749279,160420100
2018-02-20,241.61534118652344,243.63623859211526,240.8141166572119,242.17620650757416,86369700
2018-02-21,240.4134979248047,244.5710032544408,240.3155828561697,242.06047610896744,98883700
2018-02-22,240.72512817382812,243.0843002699461,240.04855233793677,241.34831801134473,110511300
2018-02-23,244.5621337890625,244.56213378906253,241.48185669879803,241.96260238012871,92766400
2018-02-26,247.40206909179688,247.50001135252415,245.0518080241863,245.6482641662132,86491400
2018-02-27,244.3128662109375,248.31013279452208,244.25054179125993,247.5890006796563,99099200
2018-02-28,241.83795166015625,245.87972008162694,241.51747265406172,245.42568098787888,121907800
2018-03-01,238.32138061523438,243.1910787229685,236.80793557314334,241.62422053053908,176855100
2018-03-02,239.55003356933594,240.11981035753604,235.75756210063292,236.62999545094198,139083200
2018-03-05,242.31869506835938,242.94188491008123,238.24130885047052,238.3481623532821,97307400
2018-03-06,242.93295288085938,243.38699193152036,241.41950749095267,243.306845019155,79213200
2018-03-07,242.84396362304688,243.20006049115295,240.54711573058043,240.74297308330623,87063500
2018-03-08,244.0191650390625,244.14378674636055,242.5235415407505,243.52950795804384,66901200
2018-03-09,248.2655792236328,248.26557922363278,245.12297798669232,245.44348413596214,113625300
2018-03-12,247.95407104492188,249.19153982449748,247.56235626350622,248.55946572339917,71924800
2018-03-13,246.3515167236328,249.63656187448666,245.73723822105407,249.129109690888,91968900
2018-03-14,245.08740234375,247.50889912222166,244.52656403076557,247.3219530178935,105895100
2018-03-15,244.82034301757812,246.2536418031156,244.31289069525897,245.60377246218647,83433000
2018-03-16,245.08575439453125,246.14940367644002,245.03212731117912,245.35388981129185,100343700
2018-03-19,241.76971435546875,245.2645589066402,240.09827289126966,244.32605745391425,109208400
2018-03-20,242.18081665039062,242.82436887686526,241.49255700649593,242.17186971145605,59757300
2018-03-21,241.71604919433594,244.25449800960592,241.50154084515333,242.1361462296566,78709600
2018-03-22,235.67384338378906,240.32169717022134,235.39673372191112,239.4636364719544,148785900
2018-03-23,230.6505584716797,236.45147682759045,230.4539167091529,236.12076733544524,183534800
2018-03-26,236.96090698242188,237.24693629092693,231.86614290129953,234.2973374690801,141956100
2018-03-27,232.92977905273438,238.44463984460623,231.3566452222047,237.90836901806625,129941400
2018-03-28,232.24156188964844,234.75322468104997,231.12428533434476,233.0638894363462,146452300
2018-03-29,235.20901489257812,237.09499158077637,232.25046926038658,233.39455916699913,111601600
2018-04-02,230.13217163085938,235.19120347155643,227.62946925847035,234.67277184132416,186286300
2018-04-03,233.08169555664062,233.5643665409112,229.5689855248576,231.38344108872855,119956900
2018-04-04,235.5755157470703,236.29056180362554,229.3545277678125,229.48859549375928,123715300
2018-04-05,237.43466186523438,238.3284830095355,236.2548114082153,237.35419395826148,82652600
2018-04-06,232.14328002929688,236.96096287837508,230.60590623000633,235.45042990551596,179521200
2018-04-09,233.287353515625,236.71962394925026,232.33990514329795,233.61806302406322,105442900
2018-04-10,236.99671936035156,237.79223343433904,235.0571423563414,236.21015222835655,103529000
2018-04-11,235.75428771972656,237.43467593494884,235.42357824109928,235.495071934887,91140200
2018-04-12,237.69393920898438,238.65033473743497,236.91631888712396,237.09509409371415,68890500
2018-04-13,236.99671936035156,239.13296542462265,235.97777723191234,239.01676428776946,85079200
2018-04-16,238.94517517089844,239.72282241641628,237.81897916873436,238.65022621913639,63405300
2018-04-17,241.50148010253906,242.1092717905223,240.2143757766627,240.73277991588367,64682000
2018-04-18,241.6803436279297,242.49369697068698,241.21553911519965,241.94847909507382,57303900
2018-04-19,240.33953857421875,241.22441262368378,239.2937560161904,241.01882397661785,77655900
2018-04-20,238.3016815185547,240.49155459441363,237.40786022673652,240.26809927145908,99953100
2018-04-23,238.2659149169922,239.44576540339585,237.17545200269618,238.8826537041006,65558000
2018-04-24,235.0570831298828,239.52618863809772,233.53757634618762,239.30273336268698,112885500
2018-04-25,235.6381378173828,236.08504851315533,233.15331543997814,234.9945853243798,103840900
2018-04-26,238.0335235595703,238.87371767670368,236.22801454044253,236.67492514414076,67731900
2018-04-27,238.25697326660156,238.95415270090908,237.30952499119024,238.6502567708015,57053600
2018-04-30,236.42469787597656,239.4458184526472,236.35317689154206,238.8827066285944,82182300
2018-05-01,236.84478759765625,236.95204179368878,234.27949744865342,235.85263172983042,74203400
2018-05-02,235.2537384033203,237.47039740553092,234.8604549137816,236.648097219955,86368900
2018-05-03,234.7352752685547,235.39669410410278,231.5443276349318,234.41351278982964,136311500
2018-05-04,237.77435302734375,238.46261294548088,233.42144728319658,233.75215682851578,91222100
2018-05-07,238.57872009277344,239.56190139887403,237.85469996715398,238.55190655310258,55304900
2018-05-08,238.57872009277344,238.94516270919104,236.99663942043313,238.20330326012828,67499200
2018-05-09,240.88482666015625,241.21553615799974,238.73071417630632,239.2580654400648,59666100
2018-05-10,243.13722229003906,243.4679590323617,241.52835511183915,241.63560928675153,72063900
2018-05-11,243.87911987304688,244.1472553221409,242.74394949161274,243.26238106287227,59871500
2018-05-14,243.99533081054688,244.9785123482888,243.44113873135748,244.3170933624058,54790600
2018-05-15,242.31494140625,242.77077168595017,241.35854614164302,242.75290508112678,87036100
2018-05-16,243.33389282226562,243.79869733821397,242.32387042692903,242.35071125108945,53942600
2018-05-17,243.12831115722656,244.2187741025236,242.34174414392928,243.06573712724654,56536400
2018-05-18,242.52052307128906,243.14620889669374,242.16300000416993,242.7797388877866,64368000
2018-05-21,244.3438262939453,244.88907125216375,243.6287804519953,244.02206384824294,58025900
2018-05-22,243.66456604003906,245.13044579163906,243.3338565851005,244.8712300253671,52966400
2018-05-23,244.33505249023438,244.36189332364592,242.21669972322323,242.37760833734376,64694200
2018-05-24,243.83444213867188,244.20985909037677,242.0289329146439,243.93277666681954,76043800
2018-05-25,243.25343322753906,243.88803863956662,242.74394859887585,243.2534332275391,56374800
2018-05-29,240.455810546875,242.37754827749654,239.32961419071518,241.60884772979534,115908600
2018-05-30,243.66456604003906,244.1114766066601,241.70712285331467,241.77861654198128,69678400
2018-05-31,242.1719207763672,243.55733274071653,241.5641289002177,243.2534368026418,93519900
2018-06-01,244.54946899414062,244.85336490801586,243.4142986905922,243.485819656949,71258400
2018-06-04,245.7114715576172,245.97068737398374,245.13944010596794,245.38076203876756,45385200
2018-06-05,245.8902130126953,246.27454957502152,245.06788552196082,245.84550558716992,51135000
2018-06-06,247.9459991455078,248.05325332675605,245.88127432470287,246.50696008499594,62732200
2018-06-07,247.919189453125,248.7325700432433,246.9985546800916,248.4376210402268,72969400
2018-06-08,248.65220642089844,248.70583352896585,247.2846606106439,247.45448887861326,72139700
2018-06-11,248.98291015625,249.7069033753974,248.75945478546953,248.8756559426381,58892500
2018-06-12,249.3046112060547,249.67105387951588,248.6521119361526,249.4029184410669,72329000
2018-06-13,248.50912475585938,249.80517649860923,248.30353604547707,249.54596069460723,79070600
2018-06-14,249.13475036621094,249.67102117285793,248.5358782624503,249.3850191683974,77097600
2018-06-15,248.8169403076172,249.1581218851347,247.21879560219915,248.34108900206408,120041600
2018-06-18,248.3051300048828,248.4308399983373,246.85962947857846,247.34444042543623,52917600
2018-06-19,247.35345458984375,247.5779132600705,245.58471917246763,246.00670256848346,97531500
2018-06-20,247.77545166015625,248.44882770799884,247.434270078624,248.04479111939668,53785500
2018-06-21,246.22218322753906,247.78443426190123,245.71939797962096,247.7664600317849,71061400
2018-06-22,246.67115783691406,247.61390094537674,246.44669910629162,247.49717802149348,54898500
2018-06-25,243.31329345703125,245.66561685483282,241.60741237768855,245.50401312515578,137854200
2018-06-26,243.85198974609375,244.71390366803539,243.12474559324465,243.88791081776827,68547400
2018-06-27,241.83180236816406,245.89000569131707,241.67915840037446,244.44450485399736,105110700
